Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
salle des sports;0;;;Neuilly-Crimolois;0;Existant;;"{""coordinates"": [5.103009354313283, 47.281257299534815], ""type"": ""Point""}";47.281257299534815, 5.103009354313283
Parvis de l'esplanade EJB;2;;;Longvic;2019;Existant;;"{""coordinates"": [5.05754405332943, 47.29014108187366], ""type"": ""Point""}";47.29014108187366, 5.05754405332943
Parc du Grand Chaignet;4;;;Quetigny;2008;Existant;;"{""coordinates"": [5.110299127658573, 47.31807006507847], ""type"": ""Point""}";47.31807006507847, 5.110299127658573
mairie;3;;;Quetigny;0;Existant;;"{""coordinates"": [5.116770592541699, 47.312646992154306], ""type"": ""Point""}";47.312646992154306, 5.116770592541699
Stade Ratel;6;;;Fontaine-lès-Dijon;2008;Existant;;"{""coordinates"": [5.027235572803526, 47.34948936996362], ""type"": ""Point""}";47.34948936996362, 5.027235572803526
Gymnase Ratel;3;;;Fontaine-lès-Dijon;0;Existant;;"{""coordinates"": [5.0290418354621576, 47.350540852444965], ""type"": ""Point""}";47.350540852444965, 5.0290418354621576
5 rue des trois forgerons;3;;;Dijon;2023;Existant;;"{""coordinates"": [5.0258324712745885, 47.31145928100807], ""type"": ""Point""}";47.31145928100807, 5.0258324712745885
75 rue Jeannin;5;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.047650176228162, 47.3215593874846], ""type"": ""Point""}";47.3215593874846, 5.047650176228162
34 rue Vannerie;1;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.045729188119748, 47.323788007984234], ""type"": ""Point""}";47.323788007984234, 5.045729188119748
8 AV des Grésilles;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.066205821373338, 47.331583051814334], ""type"": ""Point""}";47.331583051814334, 5.066205821373338
rue Alexandre Dumas;3;Boulonnés;;Chenôve;2023;Existant;;"{""coordinates"": [5.020961666028141, 47.300493333769055], ""type"": ""Point""}";47.300493333769055, 5.020961666028141
Mairie rue du château;4;Boulonnés;;Perrigny-lès-Dijon;2023;Existant;;"{""coordinates"": [5.0070260592377025, 47.26640716803787], ""type"": ""Point""}";47.26640716803787, 5.0070260592377025
142 AV Jean Jaurès;3;Scellés et/ou boulonnés;(scellé 1) et (boulonnés 2);Dijon;2023;Existant;;"{""coordinates"": [5.022342274020432, 47.303722985703885], ""type"": ""Point""}";47.303722985703885, 5.022342274020432
espace jeunes;6;;boule bleu;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.085004261506563, 47.334201216142674], ""type"": ""Point""}";47.334201216142674, 5.085004261506563
Bibliothèque;6;;;Daix;0;Existant;;"{""coordinates"": [4.998636186059633, 47.35099402235419], ""type"": ""Point""}";47.35099402235419, 4.998636186059633
Corten;2;;;Quetigny;2019;Existant;;"{""coordinates"": [5.110157259310991, 47.31195206860523], ""type"": ""Point""}";47.31195206860523, 5.110157259310991
Corten;2;;;Quetigny;2019;Existant;;"{""coordinates"": [5.111819612801376, 47.31242515194877], ""type"": ""Point""}";47.31242515194877, 5.111819612801376
Boulevard Thiers;25;;;Dijon;2018;Existant;;"{""coordinates"": [5.048937052881882, 47.32393599568702], ""type"": ""Point""}";47.32393599568702, 5.048937052881882
centre polyvalent;0;;;Neuilly-Crimolois;0;Existant;;"{""coordinates"": [5.106560536998766, 47.2796063960024], ""type"": ""Point""}";47.2796063960024, 5.106560536998766
centre polyvalent;0;;;Neuilly-Crimolois;0;Existant;;"{""coordinates"": [5.106389459553012, 47.279439668931495], ""type"": ""Point""}";47.279439668931495, 5.106389459553012
Centre d'animation Pierre Jacques;6;;;Fontaine-lès-Dijon;2008;Existant;;"{""coordinates"": [5.021217894168917, 47.34096839805243], ""type"": ""Point""}";47.34096839805243, 5.021217894168917
marcel daisey;6;;boule bleu, sol : enrobé;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.077864106139735, 47.334764019666565], ""type"": ""Point""}";47.334764019666565, 5.077864106139735
cc cours de gray;6;;boule bleu;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.084409190473125, 47.33161124510218], ""type"": ""Point""}";47.33161124510218, 5.084409190473125
GS paquier;6;;boule bleu;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.086510150864546, 47.330606264938815], ""type"": ""Point""}";47.330606264938815, 5.086510150864546
GS paquier;6;;boule bleu;Saint-Apollinaire;;Existant;;"{""coordinates"": [5.086499423037354, 47.330628988670085], ""type"": ""Point""}";47.330628988670085, 5.086499423037354
Dojo;3;;;Fontaine-lès-Dijon;0;Existant;;"{""coordinates"": [5.025160718814026, 47.35176802408063], ""type"": ""Point""}";47.35176802408063, 5.025160718814026
Groupe scolaire des Saverneys;3;;;Fontaine-lès-Dijon;2008;Existant;;"{""coordinates"": [5.030472832525021, 47.338431084853255], ""type"": ""Point""}";47.338431084853255, 5.030472832525021
